nb_cluster,davies_bouldin_score
2,3.2063813561886625
3,3.0238088534926297
4,3.687668924531178
5,3.5897815058361338
6,3.586685957066235
7,3.94766019516448
8,3.67808484420837
9,3.8883501620656284
10,3.95668013301085
11,3.9851392553460103
12,4.068287865315486
13,4.149421336712057
14,4.217792710101265
15,4.21481587797219
