Feature names,value,Objective Response
percentage_cluster5,0.021437578814627996,Positive Response
percentage_cluster6,0.033302762810959535,Positive Response
percentage_cluster7,0.03221368795139287,Positive Response
percentage_cluster0,0.2027130301872373,Negative Response
percentage_cluster1,0.06324035154757356,Negative Response
percentage_cluster2,0.2315628582346198,Negative Response
percentage_cluster3,0.026557126480703096,Negative Response
percentage_cluster4,0.15055406954528086,Negative Response
percentage_cluster5,0.09896828429499427,Negative Response
percentage_cluster6,0.20920901795949562,Negative Response
percentage_cluster7,0.01719526175009553,Negative Response
percentage_cluster0,0.18764460098760316,Positive Response
percentage_cluster1,0.08246141096032321,Positive Response
percentage_cluster2,0.1829137746469146,Positive Response
percentage_cluster3,0.20746572740771435,Positive Response
percentage_cluster4,0.1195828585241203,Positive Response
percentage_cluster5,0.03805380020028316,Positive Response
percentage_cluster6,0.11032839531751787,Positive Response
percentage_cluster7,0.07154943195552332,Positive Response
percentage_cluster0,0.1430896870405377,Positive Response
percentage_cluster1,0.05923125393824827,Positive Response
percentage_cluster2,0.3341209829867675,Positive Response
percentage_cluster3,0.046471329552614994,Positive Response
percentage_cluster4,0.232356647763075,Positive Response
percentage_cluster5,0.054925435832808234,Positive Response
percentage_cluster6,0.114629279563117,Positive Response
percentage_cluster7,0.015175383322831339,Positive Response
percentage_cluster0,0.12011222163773452,Positive Response
percentage_cluster1,0.06593021216903384,Positive Response
percentage_cluster2,0.33280729440645274,Positive Response
percentage_cluster3,0.05874101350166579,Positive Response
percentage_cluster4,0.0019288093985621604,Positive Response
percentage_cluster5,0.271436086270384,Positive Response
percentage_cluster6,0.1367701209889532,Positive Response
percentage_cluster7,0.012274241627213748,Positive Response
percentage_cluster0,0.0642628205128205,Positive Response
percentage_cluster1,0.11762820512820513,Positive Response
percentage_cluster2,0.25384615384615383,Positive Response
percentage_cluster3,0.041185897435897435,Positive Response
percentage_cluster4,0.26346153846153847,Positive Response
percentage_cluster5,0.11057692307692307,Positive Response
percentage_cluster6,0.11875,Positive Response
percentage_cluster7,0.03028846153846154,Positive Response
percentage_cluster0,0.0008429334082607474,Positive Response
percentage_cluster1,0.24613655521213823,Positive Response
percentage_cluster2,0.0783928069682495,Positive Response
percentage_cluster3,0.16071930317504918,Positive Response
percentage_cluster4,0.008710311885361057,Positive Response
percentage_cluster5,0.06912053947738128,Positive Response
percentage_cluster6,0.18010677156504637,Positive Response
percentage_cluster7,0.2559707783085136,Positive Response
percentage_cluster0,0.12088745032162904,Positive Response
percentage_cluster1,0.0969189167042242,Positive Response
percentage_cluster2,0.3244356127340517,Positive Response
percentage_cluster3,0.05973696070799361,Positive Response
percentage_cluster4,0.0057975171057483505,Positive Response
percentage_cluster5,0.20875158765927807,Positive Response
percentage_cluster6,0.14614659728766338,Positive Response
percentage_cluster7,0.037325357479411646,Positive Response
percentage_cluster0,0.08624043574114901,Negative Response
percentage_cluster1,0.03635499070591795,Negative Response
percentage_cluster2,0.18605455410020316,Negative Response
percentage_cluster3,0.048675052954653526,Negative Response
percentage_cluster4,0.03475554402801193,Negative Response
percentage_cluster5,0.24808714822980157,Negative Response
percentage_cluster6,0.3464315047767259,Negative Response
percentage_cluster7,0.013400769463536938,Negative Response
percentage_cluster0,0.09191652985397045,Positive Response
percentage_cluster1,0.06923442495463579,Positive Response
percentage_cluster2,0.079841009245658,Positive Response
percentage_cluster3,0.2712131685820444,Positive Response
percentage_cluster4,0.008943229931737665,Positive Response
percentage_cluster5,0.07603905642443619,Positive Response
percentage_cluster6,0.3691782597425041,Positive Response
percentage_cluster7,0.033634321265013395,Positive Response
percentage_cluster0,0.0323373980764445,Negative Response
percentage_cluster1,0.13161862657551493,Negative Response
percentage_cluster2,0.153503828080397,Negative Response
percentage_cluster3,0.16932851224546558,Negative Response
percentage_cluster4,0.024739793005518877,Negative Response
percentage_cluster5,0.1592569278739881,Negative Response
percentage_cluster6,0.26925385369852584,Negative Response
percentage_cluster7,0.05996106044414516,Negative Response
percentage_cluster0,0.23954473266278453,Positive Response
percentage_cluster1,0.04493118051879301,Positive Response
percentage_cluster2,0.12003705664372684,Positive Response
percentage_cluster3,0.03474060349391212,Positive Response
percentage_cluster4,0.04043144520910535,Positive Response
percentage_cluster5,0.25555849655902596,Positive Response
percentage_cluster6,0.24993382742191636,Positive Response
percentage_cluster7,0.014822657490735839,Positive Response
percentage_cluster0,0.17316517659856545,Negative Response
percentage_cluster1,0.11757373854120633,Negative Response
percentage_cluster2,0.06616355622032612,Negative Response
percentage_cluster3,0.15128440470929508,Negative Response
percentage_cluster4,0.026537942912828183,Negative Response
percentage_cluster5,0.09928499393774574,Negative Response
percentage_cluster6,0.30673873383871003,Negative Response
percentage_cluster7,0.05925145324132305,Negative Response
percentage_cluster0,0.18082814046939608,Negative Response
percentage_cluster1,0.04197969444606216,Negative Response
percentage_cluster2,0.17903247723875526,Negative Response
percentage_cluster3,0.06108166870498709,Negative Response
percentage_cluster4,0.16683167355813094,Negative Response
percentage_cluster5,0.10985576456428474,Negative Response
percentage_cluster6,0.2462291072156543,Negative Response
percentage_cluster7,0.014161473802729408,Negative Response
percentage_cluster0,0.26275115919629055,Negative Response
percentage_cluster1,0.08732612055641421,Negative Response
percentage_cluster2,0.16383307573415765,Negative Response
percentage_cluster3,0.01184956208140134,Negative Response
percentage_cluster4,0.080370942812983,Negative Response
percentage_cluster5,0.2091705306543019,Negative Response
percentage_cluster6,0.157908294693457,Negative Response
percentage_cluster7,0.026790314270994334,Negative Response
percentage_cluster0,0.303597441256571,Positive Response
percentage_cluster1,0.0406612198365951,Positive Response
percentage_cluster2,0.10177972005826841,Positive Response
percentage_cluster3,0.09601621381974793,Positive Response
percentage_cluster4,0.1409842295268858,Positive Response
percentage_cluster5,0.059820127937171445,Positive Response
percentage_cluster6,0.2354487301285705,Positive Response
percentage_cluster7,0.021692317436189754,Positive Response
percentage_cluster0,0.08845647162147327,Positive Response
percentage_cluster1,0.17529366560544515,Positive Response
percentage_cluster2,0.09803491052804918,Positive Response
percentage_cluster3,0.11881106597870238,Positive Response
percentage_cluster4,0.04594357229114063,Positive Response
percentage_cluster5,0.132808211658799,Positive Response
percentage_cluster6,0.2761828960368866,Positive Response
percentage_cluster7,0.06446920627950378,Positive Response
percentage_cluster0,0.11745268055408692,Positive Response
percentage_cluster1,0.034683303373162735,Positive Response
percentage_cluster2,0.13016812942793698,Positive Response
percentage_cluster3,0.0055514433752775726,Positive Response
percentage_cluster4,0.04652638257375489,Positive Response
percentage_cluster5,0.5078513270593211,Positive Response
percentage_cluster6,0.14774770011631597,Positive Response
percentage_cluster7,0.010019033520143808,Positive Response
percentage_cluster0,0.09909428585966519,Negative Response
percentage_cluster1,0.13911362133007682,Negative Response
percentage_cluster2,0.11171322444410522,Negative Response
percentage_cluster3,0.23993792296341526,Negative Response
percentage_cluster4,0.03281941688291864,Negative Response
percentage_cluster5,0.06739429094794688,Negative Response
percentage_cluster6,0.23439169592428638,Negative Response
percentage_cluster7,0.07553554164758561,Negative Response
percentage_cluster0,0.020018357445692556,Positive Response
percentage_cluster1,0.0902137331177062,Positive Response
percentage_cluster2,0.030377201800778006,Positive Response
percentage_cluster3,0.1435814502382097,Positive Response
percentage_cluster4,0.0022728266095546133,Positive Response
percentage_cluster5,0.3740548100878535,Positive Response
percentage_cluster6,0.2861139035797019,Positive Response
percentage_cluster7,0.05336771712050352,Positive Response
percentage_cluster0,0.030462575099599043,Positive Response
percentage_cluster1,0.04706455042721904,Positive Response
percentage_cluster2,0.09908663515365794,Positive Response
percentage_cluster3,0.3383164879648489,Positive Response
percentage_cluster4,0.12833224446921077,Positive Response
percentage_cluster5,0.07960237244277059,Positive Response
percentage_cluster6,0.23162061411936513,Positive Response
percentage_cluster7,0.045514520323328596,Positive Response
percentage_cluster0,0.09182989498771132,Positive Response
percentage_cluster1,0.0487078275117301,Positive Response
percentage_cluster2,0.21035972294630223,Positive Response
percentage_cluster3,0.07924331570715722,Positive Response
percentage_cluster4,0.37729947121471663,Positive Response
percentage_cluster5,0.07939226930811052,Positive Response
percentage_cluster6,0.09935205183585313,Positive Response
percentage_cluster7,0.013815446488418858,Positive Response
percentage_cluster0,0.17883992222942321,Positive Response
percentage_cluster1,0.06436811406351264,Positive Response
percentage_cluster2,0.12677252106286455,Positive Response
percentage_cluster3,0.09683732987686325,Positive Response
percentage_cluster4,0.2895852235904083,Positive Response
percentage_cluster5,0.08847699287103046,Positive Response
percentage_cluster6,0.12078418664938431,Positive Response
percentage_cluster7,0.03433570965651329,Positive Response
percentage_cluster0,0.1764732043584612,Positive Response
percentage_cluster1,0.07885256837891928,Positive Response
percentage_cluster2,0.190393595730487,Positive Response
percentage_cluster3,0.06339782076940183,Positive Response
percentage_cluster4,0.24901045141205247,Positive Response
percentage_cluster5,0.0656437625083389,Positive Response
percentage_cluster6,0.14358461196353126,Positive Response
percentage_cluster7,0.0326439848788081,Positive Response
percentage_cluster0,0.1702411244395977,Positive Response
percentage_cluster1,0.08427238579910336,Positive Response
percentage_cluster2,0.3310917242214952,Positive Response
percentage_cluster3,0.030837271295286562,Positive Response
percentage_cluster4,0.1272870471343754,Positive Response
percentage_cluster5,0.15012722646310434,Positive Response
percentage_cluster6,0.09590451956864171,Positive Response
percentage_cluster7,0.010238701078395735,Positive Response
percentage_cluster0,0.1619191780193569,Positive Response
percentage_cluster1,0.037062520067886795,Positive Response
percentage_cluster2,0.17251502224668594,Positive Response
percentage_cluster3,0.048942709050043574,Positive Response
percentage_cluster4,0.31489381221044904,Positive Response
percentage_cluster5,0.062244851153616804,Positive Response
percentage_cluster6,0.19347736342369615,Positive Response
percentage_cluster7,0.008944543828264758,Positive Response
percentage_cluster0,0.1867659509801793,Positive Response
percentage_cluster1,0.07296528667260056,Positive Response
percentage_cluster2,0.164405271041834,Positive Response
percentage_cluster3,0.07850118316219092,Positive Response
percentage_cluster4,0.3008705468597356,Positive Response
percentage_cluster5,0.0999283589866053,Positive Response
percentage_cluster6,0.05878904977964961,Positive Response
percentage_cluster7,0.0377743525172047,Positive Response
percentage_cluster0,0.11588683351468988,Positive Response
percentage_cluster1,0.04352557127312296,Positive Response
percentage_cluster2,0.0970076169749728,Positive Response
percentage_cluster3,0.04325353645266594,Positive Response
percentage_cluster4,0.10712731229597389,Positive Response
percentage_cluster5,0.08884657236126224,Positive Response
percentage_cluster6,0.49232861806311207,Positive Response
percentage_cluster7,0.012023939064200217,Positive Response
percentage_cluster0,0.20667955919820732,Positive Response
percentage_cluster1,0.20176811861129018,Positive Response
percentage_cluster2,0.16189336034625657,Positive Response
percentage_cluster3,0.09187463547901895,Positive Response
percentage_cluster4,0.020965712005402586,Positive Response
percentage_cluster5,0.09746139914663719,Positive Response
percentage_cluster6,0.16523927924609386,Positive Response
percentage_cluster7,0.05411793596709335,Positive Response
percentage_cluster0,0.029448441247002397,Positive Response
percentage_cluster1,0.13199040767386092,Positive Response
percentage_cluster2,0.24023980815347723,Positive Response
percentage_cluster3,0.10776978417266186,Positive Response
percentage_cluster4,0.27568345323741006,Positive Response
percentage_cluster5,0.10589928057553957,Positive Response
percentage_cluster6,0.05050359712230216,Positive Response
percentage_cluster7,0.0584652278177458,Positive Response
percentage_cluster0,0.16050771208226222,Positive Response
percentage_cluster1,0.037098329048843186,Positive Response
percentage_cluster2,0.29506748071979433,Positive Response
percentage_cluster3,0.06070051413881748,Positive Response
percentage_cluster4,0.01230719794344473,Positive Response
percentage_cluster5,0.16884640102827764,Positive Response
percentage_cluster6,0.25279562982005144,Positive Response
percentage_cluster7,0.012676735218508997,Positive Response
percentage_cluster0,0.06559431794443284,Positive Response
percentage_cluster1,0.04016085230833508,Positive Response
percentage_cluster2,0.04977021098809275,Positive Response
percentage_cluster3,0.13285982870273658,Positive Response
percentage_cluster4,0.003969082932943388,Positive Response
percentage_cluster5,0.3127219552955922,Positive Response
percentage_cluster6,0.36343221224148736,Positive Response
percentage_cluster7,0.03149153958637978,Positive Response
percentage_cluster0,0.10092470277410832,Negative Response
percentage_cluster1,0.07808894760017614,Negative Response
percentage_cluster2,0.26516072214883313,Negative Response
percentage_cluster3,0.04148833113166006,Negative Response
percentage_cluster4,0.02655217965653897,Negative Response
percentage_cluster5,0.1880581241743725,Negative Response
percentage_cluster6,0.2803082342580361,Negative Response
percentage_cluster7,0.01941875825627477,Negative Response
percentage_cluster0,0.09527241279907754,Positive Response
percentage_cluster1,0.13390025944076103,Positive Response
percentage_cluster2,0.1837705390602479,Positive Response
percentage_cluster3,0.023493802248486597,Positive Response
percentage_cluster4,0.13361199192850964,Positive Response
percentage_cluster5,0.16921302969155377,Positive Response
percentage_cluster6,0.22686653214182761,Positive Response
percentage_cluster7,0.03387143268953589,Positive Response
percentage_cluster0,0.13555770470664089,Positive Response
percentage_cluster1,0.08849129593810445,Positive Response
percentage_cluster2,0.540538362346873,Positive Response
percentage_cluster3,0.03699226305609284,Positive Response
percentage_cluster4,0.1100902643455835,Positive Response
percentage_cluster5,0.03425209542230819,Positive Response
